# kushinagar001 (Up to date)
# 504 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
75.851,49.683,133.183,-15.849,15.993,0.012,0.058,-30.854,0.046,30.854,270.085,2.143,0.057,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.472,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.054,90,14.134,997.63,0.001,339.864,0.047,1.831e6,21.6,366.435,0.5,0.192,0.002
76.351,41.76,125.26,-15.843,15.984,0.013,0.145,-31.918,0.046,31.918,270.082,2.114,0.145,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.49,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.351,90,14.186,998.559,0.001,339.896,0.047,1.831e6,21.6,366.435,0.5,0.192,0.002
76.851,33.84,117.34,-15.837,15.987,0.012,0.161,-32.993,0.046,32.993,270.079,2.187,0.16,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.488,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.931,90,14.237,999.488,0.001,339.927,0.047,1.832e6,21.6,366.435,0.5,0.192,0.002
77.351,25.923,109.423,-15.831,15.97,0.011,0.055,-34.066,0.045,34.066,270.077,2.106,0.054,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.463,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.197,90,14.289,1000.417,0.001,339.958,0.047,1.832e6,21.6,366.435,0.5,0.192,0.002
77.851,18.009,101.509,-15.825,15.968,0.013,0.182,-35.126,0.045,35.126,270.074,2.133,0.181,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.498,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.429,90,14.34,1001.345,0.001,339.989,0.047,1.833e6,21.6,366.435,0.5,0.192,0.002
78.351,10.098,93.598,-15.819,15.974,0.011,0.061,-36.215,0.045,36.216,270.072,2.224,0.06,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.791,0,110.323,-5.108,0,0,95.461,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.13,90,14.392,1002.273,0.001,340.02,0.047,1.833e6,21.6,366.435,0.5,0.192,0.002
78.851,2.19,85.69,-15.813,15.965,0.012,0.112,-37.32,0.045,37.32,270.069,2.194,0.111,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.791,0,110.323,-5.108,0,0,95.476,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.017,90,14.443,1003.2,0.001,340.051,0.047,1.833e6,21.6,366.435,0.138,0.193,0.002
# Event GROUND_HIT occurred at t=78.989 seconds
# Event SIMULATION_END occurred at t=78.989 seconds
78.989,0,83.5,-15.812,15.961,0.012,0.088,-37.623,0.045,37.623,270.069,2.178,0.087,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.791,0,110.323,-5.108,0,0,95.471,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.041,90,14.457,1003.457,0.001,340.06,0.046,1.833e6,21.6,366.435,NaN,0.193,0.002
